,,,,
Produit,Marque,Code-barres,Lot,DDM
Bagels degueu,SYSTeME U,3038359001741,L0237,12/11/20
Bagels Sesame,SYSTeME U,3256224756552,L0237,12/11/20
Bagels Sesame,SYSTeME U,3256224756552,L0240,15/11/20
Bagels Sesame,SYSTeME U,3256224756552,L0244,19/11/20
Bagels Sesame,Auchan,3596710488100,244,19/11/20
Bagels Sesame,Auchan,3596710488100,202,08/10/20
Bagels Sesame,Auchan,3596710488100,190,26/09/20
Bagels Sesame,SYSTeME U,3256224756552,L0251,26/11/20
Barres SPORT amande ,Carrefour,3560070747085,tous lots,toutes DDM jusqu'au 22/09/21 inclus
Biscuit Crousti son miel sesame Gerble,Gerble,3175681026766,11904618,19/11/20
Biscuit Crousti son miel sesame Gerble,Gerble,3175681026766,11905033,12/12/20
Biscuit Crousti son miel sesame Gerble,Gerble,3175681026766,11905113,12/12/20
Biscuit Crousti son miel sesame Gerble,Gerble,3175681026766,11904825,12/12/20
Biscuit Crousti son miel sesame Gerble,Gerble,3175681026766,11905796,19/03/21
Biscuit Crousti son miel sesame Gerble,Gerble,3175681026766,11906018,10/04/21
Biscuit Crousti son miel sesame Gerble,Gerble,3175681026766,11906236,31/05/21
Biscuit Crousti son miel sesame Gerble,Gerble,3175681026766,11906578,30/06/21
Biscuit Sesame Chocolat Gerble,Gerble,3175681790285,21913077,03/12/20
Biscuit Sesame Chocolat Gerble,Gerble,3175681790285,21913488,04/12/20
Biscuit Sesame Chocolat Gerble,Gerble,3175681790285,21913832,08/01/21
Biscuit Sesame Chocolat Gerble,Gerble,3175681790285,21915059,11/02/21
Biscuit Sesame Chocolat Gerble,Gerble,3175681790285,21915481,12/02/21
Biscuit Sesame Chocolat Gerble,Gerble,3175681790285,21915742,02/03/21
Biscuit Sesame Chocolat Gerble,Gerble,3175681790285,21916069,03/03/21
Biscuit Sesame Chocolat Gerble,Gerble,3175681790285,21916289,04/03/21
Biscuit Sesame Chocolat Gerble,Gerble,3175681790285,21917050,07/04/21
Biscuit Sesame Chocolat Gerble,Gerble,3175681790285,21917316,08/04/21
Biscuit Sesame Chocolat Gerble,Gerble,3175681790285,21917606,09/04/21
Biscuit Sesame Chocolat Gerble,Gerble,3175681790285,21918493,17/06/21
Biscuit Sesame Chocolat Gerble,Gerble,3175681790285,21919630,18/06/21
Biscuit Sesame Chocolat Gerble,Gerble,3175681790285,21919780,22/06/21
Biscuit Sesame Chocolat Gerble,Gerble,3175681790285,21920230,05/08/21
Biscuit Sesame Chocolat Gerble,Gerble,3175681790285,21920949,05/08/21
Biscuit Sesame Chocolat Gerble,Gerble,3175681790285,21921407,30/09/21
Biscuit Sesame Chocolat Gerble,Gerble,3175681790285,21921874,30/09/21
Biscuit Sesame Vanille Gerble,Gerble,3175681116863,21912535,02/12/20
Biscuit Sesame Vanille Gerble,Gerble,3175681116863,21914553,28/01/21
Biscuit Sesame Vanille Gerble,Gerble,3175681116863,21914645,29/01/21
Biscuit Sesame Vanille Gerble,Gerble,3175681116863,21916209,17/03/21
Biscuit Sesame Vanille Gerble,Gerble,3175681116863,21915268,17/03/21
Biscuit Sesame Vanille Gerble,Gerble,3175681116863,21916764,18/03/21
Biscuit Sesame Vanille Gerble,Gerble,3175681116863,21918937,04/06/21
Biscuit Sesame Vanille Gerble,Gerble,3175681116863,21919731,07/07/21
Biscuit Sesame Vanille Gerble,Gerble,3175681116863,21920245,06/08/21
Biscuit Sesame Vanille Gerble,Gerble,3175681116863,21921538,30/09/21
Biscuit Sesame Vanille Gerble,Gerble,3175681116863,21922367,31/10/21
Biscuits Sesame Gerble 172g,Gerble,3175681124301,21915065,11/11/20
Biscuits Sesame Gerble 172g,Gerble,3175681124301,21915519,28/11/20
Biscuits Sesame Gerble 172g,Gerble,3175681124301,21916368,01/12/20
Biscuits Sesame Gerble 172g,Gerble,3175681124301,21920254,06/05/21
Biscuits Sesame Gerble 172g,Gerble,3175681124301,21921970,30/06/21
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11904170,03/11/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11904505,03/11/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11904537,11/11/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11904575,12/11/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11904684,24/11/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11904705,26/11/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11904757,12/11/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11904761,04/12/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11904762,04/12/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11904782,07/12/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11904783,05/12/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11904824,10/12/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11904856,14/12/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11904857,11/12/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11904896,26/11/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11904900,05/12/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11904903,12/12/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11904986,10/12/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11904992,23/12/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11905167,23/12/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11905185,24/12/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11906015,10/04/21
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11906228,31/05/21
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11906330,31/05/21
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11906450,31/05/21
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11906417,30/06/21
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11906455,30/06/21
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11906456,30/06/21
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11906576,30/06/21
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11906652,30/06/21
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11906700,30/06/21
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11906701,30/06/21
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11906784,31/07/21
Biscuits Sesame Gerble 230g,Gerble,3175680011480,11906736,31/07/21
Biscuits Sesame Gerble 230g,Gerble,3175680011480,21914631,13/11/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,21914633,07/01/21
Biscuits Sesame Gerble 230g,Gerble,3175680011480,21914919,12/11/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,21915147,28/04/21
Biscuits Sesame Gerble 230g,Gerble,3175680011480,21915149,30/06/21
Biscuits Sesame Gerble 230g,Gerble,3175680011480,21915924,19/11/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,21916070,09/12/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,21916314,17/12/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,21916768,18/12/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,21916769,19/12/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,21916770,21/12/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,21917121,20/12/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,21917128,22/12/20
Biscuits Sesame Gerble 230g,Gerble,3175680011480,21917526,08/01/21
Biscuits Sesame Gerble 230g,Gerble,3175680011480,21917527,09/01/21
Biscuits Sesame Gerble 230g,Gerble,3175680011480,21917528,12/01/21
Biscuits Sesame Gerble 230g,Gerble,3175680011480,21917689,13/01/21
Biscuits Sesame Gerble 230g,Gerble,3175680011480,21917765,14/01/21
Biscuits Sesame Gerble 230g,Gerble,3175680011480,21920905,29/04/21
Biscuits Sesame Gerble 230g,Gerble,3175680011480,21920909,30/04/21
Biscuits Sesame Gerble 46g,Gerble,3175681014800,21915048,10/11/20
Biscuits Sesame Gerble 46g,Gerble,3175681014800,21915503,26/11/20
Biscuits Sesame Gerble 46g,Gerble,3175681014800,21916299,27/11/20
Biscuits Sesame Gerble 46g,Gerble,3175681014800,21921158,30/06/21
Cocotte chocolat et graines ST Michel,ST Michel,3178530404241,B 16/06/21 ,16/06/21
Cocotte chocolat et graines ST Michel,ST Michel,3178530404241,D 19/05/21 ,19/05/21
Cocotte chocolat et graines ST Michel,ST Michel,3178530404241,C 19/05/21 ,19/05/21
Crackers au parmesan 100g de marque DUKAN,DUKAN,3760151014413,27072021,27/07/21
Encas de Pepites Cereales & Myrtilles 125g,CASINO,3222476866165,L2021206,30/07/21
Encas de Pepites Cereales & Myrtilles 125g,CASINO,3222476866165,L2025206,08.09.2021
Encas de Pepites Cereales & Myrtilles 125g,CASINO,3222476866165,L2025206,09.09.2021  
Encas de Pepites Cereales & Noisettes 125g,CASINO,3222476866172,L2021206,30/07/21
"Encas de Pepites Cereales, chocolat & noix de coco 125g",CASINO,3222476866158,L2025306,09/09/21
Graines de sesame 1Kg,FRUIBON,3270727101077,10183020,28/03/21
Graines de sesame de marque EPICEA,EPICEA,3547400002021,PR20080053,01/08/22
Graines de sesame de marque EPICEA,EPICEA,3547400002021,PR20090081,01/09/22
Graines de sesame sachet 200g Bio Village,Bio village (Leclerc),3564707120791,Tous,toutes
Houmous bio pois chiches et graines de sesame,Odysee,3250392747756,101686,18/10/20
Houmous bio pois chiches et graines de sesame,Odysee,3250392747756,101933,25/10/20
Houmous bio pois chiches et graines de sesame,Odysee,3250392747756,102198,01/11/20
Houmous bio pois chiches et graines de sesame,Odysee,3250392747756,102425,08/11/20
Melange Mexicain Monoprix,MONOPRIX,3350033374942,P125953,01/07/24
Melange Mexicain Monoprix,MONOPRIX,3350033374942,P127222,01/07/24
Melange Mexicain Monoprix,MONOPRIX,3350033374942,P128454,01/07/24
Melange Mexicain Monoprix,MONOPRIX,3350033374942,P134248,01/07/24
Mix sesame Tanoshi,Tanoshi,3229820781334,P134704,01/08/24
Mix sesame Tanoshi,Tanoshi,3229820781334,P136215,01/09/24
Muesli BIO Croustillant Super Graines et spiruline Chocolat 300G ,HOOPE,3760286460031,P125174,01/12/21
Muesli BIO Croustillant Super Graines et spiruline Nature 300G ,HOOPE,3760286460086,P126533,01/01/21
Pave rustique aux cereales et Pain nordique de marque BRIDOR,LIDL,,P129551,01/04/24
Sable sesame pamplemousse,Gerble,3175681248120,P130753,01/05/24
Sable sesame pamplemousse,Gerble,3175681248120,P131538,01/06/24
sables framboise Bonne Maman ,Bonne Maman,3178530412840,D 29/01/21,29/01/21
sables framboise Bonne Maman ,Bonne Maman,3178530412840,E 29/01/21,29/01/21
sables framboise Bonne Maman ,Bonne Maman,3178530412840,A 02/03/21,02/03/21
sables framboise Bonne Maman ,Bonne Maman,3178530412840,B 02/03/21,02/03/21
Salade thai pates poulet roti gingembre sesame Pierre Martinet,Pierre Martinet,3281780892918,27408,23/10/20
Salade thai pates poulet roti gingembre sesame Pierre Martinet,Pierre Martinet,3281780892918,28208,31/10/20
Salade thai pates poulet roti gingembre sesame Pierre Martinet,Pierre Martinet,3281780892918,28608,04/11/20
Sesame blanc,La conquete des saveurs,3390126001119,C201460,30/06/21
"SO All in Low Carb 2,5kg",SOEZIE,5411866956786,,18/08/21
"SO All in Low Carb 2,5kg",SOEZIE,5411866956786,,19/08/21
"SO All in Pain aux graines 2,5kg",SOEZIE,5411866940839,,02/07/21
"SO All in Pain aux graines 2,5kg",SOEZIE,5411866940839,,03/07/21
Tablette Excellence Sesame Caramelise 100g,LINDT & SPRUNGLI SAS,3046920017503,L3750, 30/06/2021
Tablette Excellence Sesame Caramelise 100g,LINDT & SPRUNGLI SAS,3046920017503,L3870,31/03/21
Tablette Excellence sesame grille noir aux graines de sesame craquantes 100g,LINDT & SPRUNGLI SAS,3046920017503,L5810,31/05/21
Petits Pains Grilles 7 cereales 225g AUCHAN BIO,Auchan,3596710307326,238.0,25/08/21
Petits Pains Grilles 7 cereales 225g AUCHAN BIO,Auchan,3596710307326,239.0,26/08/21
Petits pains grilles 5 cereales NATURE BIO,Nature Bio,3257982123976,287.0,13/10/21
Tourte canard champignon forestiers 110g GRAND SALOIR SAINT NICOLAS,GRAND SALOIR SAINT NICOLAS,Rayon Coupe Franprix,20290,06/11/20
Tourte canard champignon forestiers 110g GRAND SALOIR SAINT NICOLAS,GRAND SALOIR SAINT NICOLAS,Rayon Coupe Franprix,20294,10/11/20
Tourte canard champignon forestiers 110g GRAND SALOIR SAINT NICOLAS,GRAND SALOIR SAINT NICOLAS,Rayon Coupe Franprix,20295,11/11/20
Pain tranche cereales bio PICARD,Picard,82161,,Toutes les DLUO comprises du 23/04/2021 au 07/09/2021
Pain Muesli PICARD,Picard,43753,3557092,Toutes les DLUO
6 Pains Multigraines PICARD,Picard,82152,3338103,Toutes les DLUO
6 Pains Multigraines PICARD,Picard,82152,3480113,Toutes les DLUO
Assortiment Sticks Feuilletes PICARD,Picard,85015, S40272,Toutes les DLUO
Assortiment Sticks Feuilletes PICARD,Picard,85015,S40279,Toutes les DLUO
GRANOLA MIEL ET GRAINES 350G ,SUPERNATURE Catherine Kluger,3770007543004,,14/09/21
